0; Time; S1posx; S1posy; S1posz; S2posx; S2posy; S2posz; S3posx; S3posy; S3posz; S4posx; S4posy; S4posz; S5posx; S5posy; S5posz; 
93; 0.92; -0.05377284; 1.847932; 0.05155508; 0.08533203; 1.227942; -0.140377; -0.1202553; 1.392145; -0.1587954; 0.00295078; 0.09238995; -1.040269; -0.3755874; 0.01648068; -0.9260833; 
94; 0.93; -0.03103048; 1.861383; 0.06665292; 0.09456313; 1.331967; -0.1363266; -0.1012202; 1.305645; -0.185942; 0.002961839; 0.09238365; -1.040248; -0.3755938; 0.01649139; -0.9261119; 
95; 0.94; -0.02476258; 1.863197; 0.06680033; 0.09639888; 1.340925; -0.135587; -0.1012505; 1.303805; -0.1813653; 0.002976431; 0.09243347; -1.040241; -0.3756076; 0.01648587; -0.9261038; 
96; 0.95; -0.01838577; 1.864534; 0.06666391; 0.09844087; 1.348526; -0.1353839; -0.1044132; 1.303575; -0.1817495; 0.003008203; 0.09242046; -1.04022; -0.3756021; 0.01651532; -0.9260917; 
97; 0.96; -0.004601995; 1.866893; 0.06589184; 0.1030005; 1.361458; -0.1358382; -0.1139731; 1.309715; -0.1830957; 0.003015527; 0.09241503; -1.040221; -0.3755913; 0.01650254; -0.9260932; 
98; 0.97; 0.002142707; 1.867565; 0.0654969; 0.1055694; 1.367026; -0.1362203; -0.117556; 1.31304; -0.1817397; 0.002980622; 0.09229821; -1.040205; -0.3755995; 0.01650713; -0.9260903; 
99; 0.98; 0.009164248; 1.868223; 0.06525189; 0.1084871; 1.371906; -0.1367288; -0.1203512; 1.316982; -0.1792282; 0.002975499; 0.09231833; -1.040211; -0.3755961; 0.01653006; -0.9261017; 
100; 0.9899999; 0.01532069; 1.868164; 0.06493229; 0.1113302; 1.376232; -0.1372537; -0.1223956; 1.319813; -0.1761452; 0.002972128; 0.09231284; -1.040224; -0.3756071; 0.01650396; -0.9260932; 
101; 1; 0.02103931; 1.867775; 0.06450836; 0.1144812; 1.379869; -0.1378798; -0.1230391; 1.320825; -0.1731834; 0.002979723; 0.0923173; -1.040202; -0.3756067; 0.01653034; -0.9261078; 
102; 1.01; 0.03181814; 1.866406; 0.06368326; 0.120806; 1.384548; -0.1397469; -0.1228099; 1.31687; -0.1704997; 0.003019761; 0.0924511; -1.040232; -0.375601; 0.01650393; -0.9261059; 
103; 1.02; 0.03181814; 1.866406; 0.06368326; 0.120806; 1.384548; -0.1397469; -0.1228099; 1.31687; -0.1704997; 0.003019761; 0.0924511; -1.040232; -0.375601; 0.01650393; -0.9261059; 
104; 1.03; 0.04094626; 1.864066; 0.06257781; 0.1264805; 1.385191; -0.1427496; -0.120701; 1.302257; -0.1704037; 0.002988587; 0.09234331; -1.040223; -0.3755962; 0.01650394; -0.9261028; 
105; 1.04; 0.04446889; 1.86258; 0.06186609; 0.1289781; 1.383429; -0.1449415; -0.1190582; 1.289307; -0.1694608; 0.002944635; 0.09239112; -1.040263; -0.3755929; 0.01648869; -0.9261042; 
106; 1.05; 0.04819147; 1.86083; 0.06055222; 0.1317119; 1.380171; -0.1474452; -0.1170503; 1.274213; -0.1676822; 0.002935278; 0.09228489; -1.040249; -0.3756056; 0.01649925; -0.9261056; 
107; 1.06; 0.05040653; 1.859414; 0.05926747; 0.1335027; 1.37463; -0.1507204; -0.1144625; 1.257697; -0.1645014; 0.002971093; 0.09240191; -1.040252; -0.3756021; 0.01650024; -0.9261069; 
